"title","links"
"Amores perros","/title/tt0245712/"
"Catch Me If You Can","/title/tt0264464/"
"Harry Potter and the Deathly Hallows: Part 2","/title/tt1201607/"
"Kaze no tani no Naushika","/title/tt0087544/"
"The Princess Bride","/title/tt0093779/"
"Rang De Basanti","/title/tt0405508/"
"Butch Cassidy and the Sundance Kid","/title/tt0064115/"
"Rocky","/title/tt0075148/"
"Barry Lyndon","/title/tt0072684/"
"Monsters, Inc.","/title/tt0198781/"
"The Grapes of Wrath","/title/tt0032551/"
"Dead Poets Society","/title/tt0097165/"
"The Maltese Falcon","/title/tt0033870/"
"The Terminator","/title/tt0088247/"
"Gandhi","/title/tt0083987/"
"Donnie Darko","/title/tt0246578/"
"Ah-ga-ssi","/title/tt4016934/"
"La haine","/title/tt0113247/"
"Les diaboliques","/title/tt0046911/"
"Faa yeung nin wa","/title/tt0118694/"
"Groundhog Day","/title/tt0107048/"
"The Wizard of Oz","/title/tt0032138/"
"The Help","/title/tt1454029/"
"Jaws","/title/tt0073195/"
"Before Sunset","/title/tt0381681/"
"Le notti di Cabiria","/title/tt0050783/"
"Paris, Texas","/title/tt0087884/"
"Tenkû no shiro Rapyuta","/title/tt0092067/"
"Guardians of the Galaxy","/title/tt2015381/"
"Pirates of the Caribbean: The Curse of the Black Pearl","/title/tt0325980/"
"The Best Years of Our Lives","/title/tt0036868/"
"Beauty and the Beast","/title/tt0101414/"
"The Exorcist","/title/tt0070047/"
"Trois couleurs: Rouge","/title/tt0111495/"
"PK","/title/tt2338151/"
"Akira","/title/tt0094625/"
"Gangs of Wasseypur","/title/tt1954470/"
"Lagaan: Once Upon a Time in India","/title/tt0169102/"
